,Manual,,,,,,Auto_trial1,,,,,,Auto_trial2,,,,,
Label,Increment,height_mm,speed_RPM,Viscosity_cP,Torque_%,Rotational_Drag,cell,Z_Height_mm,height_mm,RPM,Torque_%,Rotational_Drag,cell,Z_Height_mm,height_mm,RPM,Torque_%,Rotational_Drag
sigma_60000,33,0.429,0.7,42810,30.2,43.14285714,16,-64.44,0.5,0.7,32.64,46.628571,17,-64.44,0.5,0.7,30.71,43.871429
,32,0.416,0.7,42950,30.3,43.28571429,16,-64.46,0.475,0.7,33.77,48.242857,17,-64.46,0.475,0.7,31.57,45.1
,31,0.403,0.7,43230,30.5,43.57142857,16,-64.48,0.45,0.7,34.51,49.3,17,-64.48,0.45,0.7,32.46,46.371429
,30,0.39,0.7,43660,30.8,44,16,-64.5,0.425,0.7,35.58,50.828571,17,-64.5,0.425,0.7,33.18,47.4
,29,0.377,0.7,44080,31.1,44.42857143,16,-64.52,0.4,0.7,36.6,52.285714,17,-64.52,0.4,0.7,34.08,48.685714
,28,0.364,0.7,44650,31.5,45,16,-64.54,0.375,0.7,37.63,53.757143,17,-64.54,0.375,0.7,35.07,50.1
,27,0.351,0.7,45220,31.9,45.57142857,16,-64.56,0.35,0.7,38.73,55.328571,17,-64.56,0.35,0.7,36.18,51.685714
,26,0.338,0.7,45930,32.4,46.28571429,16,-64.58,0.325,0.7,39.96,57.085714,17,-64.58,0.325,0.7,36.99,52.842857
,25,0.325,0.7,46350,32.7,46.71428571,16,-64.6,0.3,0.7,40.95,58.5,17,-64.6,0.3,0.7,38.22,54.6
,24,0.312,0.7,46070,33.2,47.42857143,16,-64.62,0.275,0.7,42.61,60.871429,17,-64.62,0.275,0.7,39.37,56.242857
,23,0.299,0.7,47910,33.8,48.28571429,16,-64.64,0.25,0.7,43.77,62.528571,17,-64.64,0.25,0.7,40.69,58.128571
,22,0.286,0.7,48330,34.1,48.71428571,16,-64.66,0.225,0.7,45.43,64.9,17,-64.66,0.225,0.7,41.93,59.9
,21,0.273,0.7,49190,34.7,49.57142857,16,-64.68,0.2,0.7,46.85,66.928571,17,-64.68,0.2,0.7,43.39,61.985714
,20,0.26,0.7,50040,35.3,50.42857143,16,-64.7,0.175,0.7,48.77,69.671429,17,-64.7,0.175,0.7,44.78,63.971429
,19,0.247,0.7,50890,35.9,51.28571429,16,-64.72,0.15,0.7,50.58,72.257143,17,-64.72,0.15,0.7,46.51,66.442857
,18,0.234,0.7,51590,36.4,52,16,-64.74,0.125,0.7,52.54,75.057143,17,-64.74,0.125,0.7,48.29,68.985714
,17,0.221,0.7,52590,37.1,53,16,-64.76,0.1,0.7,54.93,78.471429,17,-64.76,0.1,0.7,50.16,71.657143
,16,0.208,0.7,53440,37.7,53.85714286,16,-64.78,0.075,0.7,57.14,81.628571,17,-64.78,0.075,0.7,52.26,74.657143
,15,0.195,0.7,54290,38.3,54.71428571,16,-64.8,0.05,0.7,60.04,85.771429,17,-64.8,0.05,0.7,54.58,77.971429
,14,0.182,0.7,55280,39,55.71428571,16,-64.82,0.025,0.7,62.65,89.5,17,-64.82,0.025,0.7,57.07,81.528571
,13,0.169,0.7,56270,39.7,56.71428571,16,-64.84,0,0.7,66.09,94.414286,17,-64.84,0,0.7,60.02,85.742857
,12,0.156,0.7,57120,40.3,57.57142857,16,-64.86,-0.025,0.7,68.46,97.8,17,-64.86,-0.025,0.7,61.72,88.171429
,11,0.143,0.7,58540,41.3,59,16,-64.88,-0.05,0.7,68.35,97.642857,17,-64.88,-0.05,0.7,63.7,91
,10,0.13,0.7,59530,42,60,16,-64.9,-0.075,0.7,70.52,100.742857,17,-64.9,-0.075,0.7,62.05,88.642857
,9,0.117,0.7,61230,43.2,61.71428571,16,-64.92,-0.1,0.7,67.42,96.314286,17,-64.92,-0.1,0.7,64.17,91.671429
,8,0.104,0.7,62230,43.9,62.71428571,,,-0.125,,,,17,-64.94,-0.125,0.7,62.14,88.771429
,7,0.091,0.7,62930,44.4,63.42857143,,,,,,,,,,,,
,6,0.078,0.7,65200,46,65.71428571,,,,,,,,,,,,
,5,0.065,0.7,66620,47,67.14285714,,,,,,,,,,,,
,4,0.052,0.7,68320,48.2,68.85714286,,,,,,,,,,,,
,3,0.039,0.7,70160,49.5,70.71428571,,,,,,,,,,,,
,2,0.026,0.7,72570,51.2,73.14285714,,,,,,,,,,,,
,1,0.013,0.7,74560,52.6,75.14285714,,,,,,,,,,,,
,0,0,0.7,76970,54.3,77.57142857,,,,,,,,,,,,
,-1,-0.013,0.7,80230,56.6,80.85714286,,,,,,,,,,,,
,-2,-0.026,0.7,77680,54.8,78.28571429,,,,,,,,,,,,
,-3,-0.039,0.7,77960,55,78.57142857,,,,,,,,,,,,
sigma_10000,30,0.39,4.3,7268,31.5,7.325581395,9,-65.54,0.352,4.3,35.35,8.22093,10,-65.26,0.448,4.3,33.31,7.746512
,29,0.377,4.3,7084,30.7,7.139534884,9,-65.56,0.32,4.3,37.01,8.606977,10,-65.28,0.416,4.3,34.95,8.127907
,28,0.364,4.3,7176,31.1,7.23255814,9,-65.58,0.288,4.3,38.87,9.039535,10,-65.3,0.384,4.3,36.28,8.437209
,27,0.351,4.3,7268,31.5,7.325581395,9,-65.6,0.256,4.3,40.91,9.513953,10,-65.32,0.352,4.3,37.69,8.765116
,26,0.338,4.3,7338,31.8,7.395348837,9,-65.62,0.224,4.3,42.42,9.865116,10,-65.34,0.32,4.3,39.01,9.072093
,25,0.325,4.3,7453,32.3,7.511627907,9,-65.64,0.192,4.3,44.26,10.293023,10,-65.36,0.288,4.3,40.68,9.460465
,24,0.312,4.3,7545,32.7,7.604651163,9,-65.66,0.16,4.3,46.18,10.739535,10,-65.38,0.256,4.3,42.26,9.827907
,23,0.299,4.3,7638,33.1,7.697674419,9,-65.68,0.128,4.3,48.47,11.272093,10,-65.4,0.224,4.3,44.09,10.253488
,22,0.286,4.3,7730,33.5,7.790697674,9,-65.7,0.096,4.3,50.51,11.746512,10,-65.42,0.192,4.3,45.75,10.639535
,21,0.273,4.3,7822,33.9,7.88372093,9,-65.72,0.064,4.3,53.12,12.353488,10,-65.44,0.16,4.3,47.86,11.130233
,20,0.26,4.3,7961,34.5,8.023255814,9,-65.74,0.032,4.3,55.82,12.981395,10,-65.46,0.128,4.3,49.84,11.590698
,19,0.247,4.3,8076,35,8.139534884,9,-65.76,0,4.3,58.98,13.716279,10,-65.48,0.096,4.3,52.28,12.15814
,18,0.234,4.3,8214,35.6,8.279069767,9,-65.78,-0.032,4.3,65,15.116279,10,-65.5,0.064,4.3,54.63,12.704651
,17,0.221,4.3,8353,36.2,8.418604651,9,-65.8,-0.064,4.3,64.7,15.046512,10,-65.52,0.032,4.3,57.68,13.413953
,16,0.208,4.3,8514,36.9,8.581395349,9,-65.82,-0.096,4.3,64.55,15.011628,10,-65.54,0,4.3,60.62,14.097674
,15,0.195,4.3,8653,37.5,8.720930233,,,,,,,10,-65.56,-0.032,4.3,61.47,14.295349
,14,0.182,4.3,8814,38.2,8.88372093,,,,,,,10,-65.58,-0.064,4.3,61.38,14.274419
,13,0.169,4.3,8953,38.8,9.023255814,,,,,,,10,-65.6,-0.096,4.3,61.1,14.209302
,12,0.156,4.3,9114,39.5,9.186046512,,,,,,,,,,,,
,11,0.143,4.3,9299,40.3,9.372093023,,,,,,,,,,,,
,10,0.13,4.3,9461,41,9.534883721,,,,,,,,,,,,
,9,0.117,4.3,9668,41.9,9.744186047,,,,,,,,,,,,
,8,0.104,4.3,9853,42.7,9.930232558,,,,,,,,,,,,
,7,0.091,4.3,10080,43.7,10.1627907,,,,,,,,,,,,
,6,0.078,4.3,10290,44.6,10.37209302,,,,,,,,,,,,
,5,0.065,4.3,10550,45.7,10.62790698,,,,,,,,,,,,
,4,0.052,4.3,10850,47,10.93023256,,,,,,,,,,,,
,3,0.039,4.3,11080,48,11.1627907,,,,,,,,,,,,
,2,0.026,4.3,11380,49.3,11.46511628,,,,,,,,,,,,
,1,0.013,4.3,11700,50.7,11.79069767,,,,,,,,,,,,
,0,0,4.3,12140,52.6,12.23255814,,,,,,,,,,,,
,-1,-0.013,4.3,12830,55.6,12.93023256,,,,,,,,,,,,
,-2,-0.026,4.3,12410,53.8,12.51162791,,,,,,,,,,,,
,-3,-0.039,4.3,12250,53.1,12.34883721,,,,,,,,,,,,
sigma_1000,30,0.39,45,652.6,29.6,0.657777778,1,-65.76,0.544,45,32.09,0.713111,2,-65.56,0.578,45,33.51,0.744667
,29,0.377,45,661.5,30,0.666666667,1,-65.78,0.51,45,33.36,0.741333,2,-65.58,0.544,45,34.77,0.772667
,28,0.364,45,668.1,30.3,0.673333333,1,-65.8,0.476,45,34.6,0.768889,2,-65.6,0.51,45,36.14,0.803111
,27,0.351,45,676.9,30.7,0.682222222,1,-65.82,0.442,45,35.79,0.795333,2,-65.62,0.476,45,37.3,0.828889
,26,0.338,45,685.7,31.1,0.691111111,1,-65.84,0.408,45,37.29,0.828667,2,-65.64,0.442,45,38.6,0.857778
,25,0.325,45,694.5,31.5,0.7,1,-65.86,0.374,45,38.64,0.858667,2,-65.66,0.408,45,39.68,0.881778
,24,0.312,45,703.4,31.9,0.708888889,1,-65.88,0.34,45,40.08,0.890667,2,-65.68,0.374,45,41.02,0.911556
,23,0.299,45,712.2,32.3,0.717777778,1,-65.9,0.306,45,41.34,0.918667,2,-65.7,0.34,45,42.41,0.942444
,22,0.286,45,721,32.7,0.726666667,1,-65.92,0.272,45,42.91,0.953556,2,-65.72,0.306,45,44.11,0.980222
,21,0.273,45,732,33.2,0.737777778,1,-65.94,0.238,45,44.52,0.989333,2,-65.74,0.272,45,45.68,1.015111
,20,0.26,45,743,33.7,0.748888889,1,-65.96,0.204,45,46.52,1.033778,2,-65.76,0.238,45,47.53,1.056222
,19,0.247,45,754.1,34.2,0.76,1,-65.98,0.17,45,48.42,1.076,2,-65.78,0.204,45,49.2,1.093333
,18,0.234,45,767.3,34.6,0.768888889,1,-66,0.136,45,50.6,1.124444,2,-65.8,0.17,45,51.39,1.142
,17,0.221,45,778.3,35.3,0.784444444,1,-66.02,0.102,45,52.67,1.170444,2,-65.82,0.136,45,53.56,1.190222
,16,0.208,45,793.8,36,0.8,1,-66.04,0.068,45,55.28,1.228444,2,-65.84,0.102,45,56.38,1.252889
,15,0.195,45,807,36.6,0.813333333,1,-66.06,0.034,45,58.13,1.291778,2,-65.86,0.068,45,59.12,1.313778
,14,0.182,45,818,37.1,0.824444444,1,-66.08,0,45,61.77,1.372667,2,-65.88,0.034,45,62.34,1.385333
,13,0.169,45,833.4,37.8,0.84,1,-66.1,-0.034,45,69.76,1.550222,2,-65.9,0,45,65.42,1.453778
,12,0.156,45,848.9,38.5,0.855555556,1,-66.12,-0.068,45,68.09,1.513111,2,-65.92,-0.034,45,72.57,1.612667
,11,0.143,45,864.3,39.2,0.871111111,1,-66.14,-0.102,45,71.97,1.599333,2,-65.94,-0.068,45,75.54,1.678667
,10,0.13,45,877.5,39.8,0.884444444,,,,,,,2,-65.96,-0.102,45,76.74,1.705333
,9,0.117,45,893,40.5,0.9,,,,,,,,,,,,
,8,0.104,45,917.2,41.6,0.924444444,,,,,,,,,,,,
,7,0.091,45,934.9,42.4,0.942222222,,,,,,,,,,,,
,6,0.078,45,954.7,43.3,0.962222222,,,,,,,,,,,,
,5,0.065,45,976.8,44.3,0.984444444,,,,,,,,,,,,
,4,0.052,45,1003,45.5,1.011111111,,,,,,,,,,,,
,3,0.039,45,1025,46.5,1.033333333,,,,,,,,,,,,
,2,0.026,45,1052,47.7,1.06,,,,,,,,,,,,
,1,0.013,45,1116,50.6,1.124444444,,,,,,,,,,,,
,0,0,45,1151,52.2,1.16,,,,,,,,,,,,
,-1,-0.013,45,1199,54.4,1.208888889,,,,,,,,,,,,
,-2,-0.026,45,1213,55,1.222222222,,,,,,,,,,,,
,-3,-0.039,45,1149,52.1,1.157777778,,,,,,,,,,,,
