# Dynamic Analysis - Mode: CALIBRATION (PARTIAL RESULTS)
# Experiment Name: calibration_20260604_085138
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260604_085138
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
"# Completed cells: [1, 2]"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# WARNING: Experiment was terminated early - these are partial results
# Viscosity prediction mode: off

row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,,-65.500,1.0,4.01,0.070,0.070000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.520,1.0,4.01,0.130,0.130000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.540,1.0,4.01,0.190,0.190000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.560,1.0,4.01,0.190,0.190000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.580,1.0,4.01,0.170,0.170000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.600,1.0,4.01,0.100,0.100000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.620,1.0,4.01,0.060,0.060000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,1,,-65.640,1.0,4.01,0.030,0.030000,normal,0.000000,0.973158,2.150000,25.000000,25.000000,115.556436,0.000000,0.973158,0.000000,0.000000,False,False,False,True,False,False,1,0.200000,False,hit_r2_drag (R^2=0.9732)
1,1,,-65.660,1.0,4.01,0.070,0.070000,normal,0.777315,0.643993,1.350000,175.000000,175.000000,-491.221564,-2000.000000,0.643993,0.777315,0.000000,False,False,False,True,True,False,1,0.400000,False,hit_r2_drag (R^2=0.6440); hit_r2_cv (R^2=0.7773)
1,1,,-65.680,1.0,4.01,0.150,0.150000,normal,0.644377,0.146135,-0.550000,100.000000,100.000000,-124.693502,-4750.000000,0.146135,0.644377,0.788998,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1461); hit_r2_cv (R^2=0.6444); hit_r2_slope (R^2=0.7890)
1,1,,-65.700,1.0,4.01,0.170,0.170000,normal,0.389873,0.785326,-1.700000,-150.000000,-150.000000,314.828577,-2875.000000,0.785326,0.389873,0.896610,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7853); hit_r2_cv (R^2=0.3899); hit_r2_slope (R^2=0.8966)
1,1,,-65.720,1.0,4.01,0.210,0.210000,normal,0.100073,0.965328,-2.300000,50.000000,50.000000,-271.574885,-1500.000000,0.965328,0.100073,0.890915,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9653); hit_r2_cv (R^2=0.1001); hit_r2_slope (R^2=0.8909)
1,1,,-65.740,1.0,4.01,0.170,0.170000,normal,0.484252,0.630597,-1.300000,-200.000000,-200.000000,-462.788510,2500.000000,0.630597,0.484252,0.005319,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.6306); hit_r2_cv (R^2=0.4843); hit_r2_slope (R^2=0.0053)
1,1,,-65.760,1.0,4.02,0.110,0.110000,normal,0.729764,0.121212,0.400000,-50.000000,-50.000000,311.854232,4250.000000,0.121212,0.729764,0.840722,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1212); hit_r2_cv (R^2=0.7298); hit_r2_slope (R^2=0.8407)
1,1,,-65.780,1.0,4.01,0.070,0.070000,normal,0.630470,0.730519,1.500000,50.000000,50.000000,598.687664,2750.000000,0.730519,0.630470,0.898348,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7305); hit_r2_cv (R^2=0.6305); hit_r2_slope (R^2=0.8983)
1,1,,-65.800,1.0,4.01,0.050,0.050000,normal,0.000909,0.975664,2.100000,50.000000,50.000000,33.765966,1500.000000,0.975664,0.000909,0.892857,False,False,False,False,True,True,1,0.400000,False,hit_r2_cv (R^2=0.0009); hit_r2_slope (R^2=0.8929)
1,1,,-65.820,1.0,4.01,0.080,0.080000,normal,0.600253,0.660550,1.200000,125.000000,125.000000,-526.965241,-2250.000000,0.660550,0.600253,-0.000000,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.6606); hit_r2_cv (R^2=0.6003); hit_r2_slope (R^2=-0.0000)
1,1,,-65.840,1.0,4.01,0.110,0.110000,normal,0.112269,0.003676,-0.050000,-0.000000,-0.000000,-248.665508,-3125.000000,0.003676,0.112269,0.866111,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.0037); hit_r2_cv (R^2=0.1123); hit_r2_slope (R^2=0.8661)
1,1,,-65.860,1.0,4.01,0.210,0.210000,normal,0.076428,0.726131,-1.700000,175.000000,175.000000,1055.626969,-4125.000000,0.726131,0.076428,0.871515,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7261); hit_r2_cv (R^2=0.0764); hit_r2_slope (R^2=0.8715)
1,1,,-65.880,1.0,4.01,0.220,0.220000,normal,0.050524,0.931282,-2.350000,-225.000000,-225.000000,-733.659816,-1625.000000,0.931282,0.050524,0.875252,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9313); hit_r2_cv (R^2=0.0505); hit_r2_slope (R^2=0.8753)
1,1,,-65.900,1.0,4.01,0.210,0.210000,normal,0.011725,0.790416,-1.850000,-50.000000,-50.000000,-327.227386,1250.000000,0.790416,0.011725,0.201902,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7904); hit_r2_cv (R^2=0.0117); hit_r2_slope (R^2=0.2019)
1,1,,-65.920,1.0,4.01,0.160,0.160000,normal,0.104134,0.115207,-0.500000,-100.000000,-100.000000,84.575362,3375.000000,0.115207,0.104134,0.767624,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1152); hit_r2_cv (R^2=0.1041); hit_r2_slope (R^2=0.7676)
1,1,,-65.940,1.0,4.02,0.110,0.110000,normal,0.919911,0.778802,1.300000,-0.000000,-0.000000,314.055859,4500.000000,0.778802,0.919911,0.870482,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7788); hit_r2_cv (R^2=0.9199); hit_r2_slope (R^2=0.8705)
1,1,,-65.960,1.0,4.01,0.050,0.050000,normal,0.151981,0.958416,2.200000,-25.000000,-25.000000,487.023898,2250.000000,0.958416,0.151981,0.888889,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9584); hit_r2_cv (R^2=0.1520); hit_r2_slope (R^2=0.8889)
1,1,,-65.980,1.0,4.01,0.060,0.060000,normal,0.426222,0.919584,2.050000,175.000000,175.000000,-265.338511,-375.000000,0.919584,0.426222,0.653061,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9196); hit_r2_cv (R^2=0.4262); hit_r2_slope (R^2=0.6531)
1,1,,-66.000,1.0,4.01,0.110,0.110000,normal,0.634766,0.285533,0.750000,100.000000,100.000000,-489.994495,-3250.000000,0.285533,0.634766,0.606026,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.2855); hit_r2_cv (R^2=0.6348); hit_r2_slope (R^2=0.6060)
1,1,,-66.020,1.0,4.01,0.160,0.160000,normal,0.262617,0.324873,-0.800000,-0.000000,-0.000000,268.309107,-3875.000000,0.324873,0.262617,0.880978,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.3249); hit_r2_cv (R^2=0.2626); hit_r2_slope (R^2=0.8810)
1,1,,-66.040,1.0,4.01,0.210,0.210000,normal,0.039231,0.964989,-2.100000,-0.000000,-0.000000,268.309107,-3250.000000,0.964989,0.039231,0.898965,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9650); hit_r2_cv (R^2=0.0392); hit_r2_slope (R^2=0.8990)
1,1,,-66.060,1.0,4.01,0.210,0.210000,normal,0.127016,0.941176,-2.000000,-125.000000,-125.000000,-577.519084,250.000000,0.941176,0.127016,0.708592,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9412); hit_r2_cv (R^2=0.1270); hit_r2_slope (R^2=0.7086)
1,1,,-66.080,1.0,4.00,0.180,0.180000,normal,0.343259,0.521676,-0.950000,-75.000000,-75.000000,-128.101682,2625.000000,0.521676,0.343259,0.588957,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.5217); hit_r2_cv (R^2=0.3433); hit_r2_slope (R^2=0.5890)
1,1,,-66.100,1.0,4.01,0.120,0.120000,normal,0.708387,0.211538,0.550000,-75.000000,-75.000000,383.239325,3750.000000,0.211538,0.708387,0.862936,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.2115); hit_r2_cv (R^2=0.7084); hit_r2_slope (R^2=0.8629)
1,1,,-66.120,1.0,4.01,0.060,0.060000,normal,0.319101,0.898936,1.950000,0.000000,0.000000,505.877139,3500.000000,0.898936,0.319101,0.895931,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.8989); hit_r2_cv (R^2=0.3191); hit_r2_slope (R^2=0.8959)
1,1,,-66.140,1.0,4.01,0.060,0.060000,normal,0.200834,0.942308,2.100000,150.000000,150.000000,-169.998666,375.000000,0.942308,0.200834,0.797872,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9423); hit_r2_cv (R^2=0.2008); hit_r2_slope (R^2=0.7979)
1,1,,-66.160,1.0,4.01,0.090,0.090000,normal,0.794373,0.571429,1.200000,75.000000,75.000000,-395.370937,-2250.000000,0.571429,0.794373,0.321429,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.5714); hit_r2_cv (R^2=0.7944); hit_r2_slope (R^2=0.3214)
1,1,,-66.180,1.0,4.01,0.170,0.170000,normal,0.511732,0.196512,-0.650000,125.000000,125.000000,49.899399,-4625.000000,0.196512,0.511732,0.812376,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1965); hit_r2_cv (R^2=0.5117); hit_r2_slope (R^2=0.8124)
1,1,,-66.200,1.0,4.01,0.230,0.230000,normal,0.436601,0.892857,-2.250000,-50.000000,-50.000000,406.962859,-4000.000000,0.892857,0.436601,0.898305,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.8929); hit_r2_cv (R^2=0.4366); hit_r2_slope (R^2=0.8983)
1,1,,-66.220,1.0,4.00,0.230,0.230000,normal,0.015686,0.932039,-2.400000,-150.000000,-150.000000,-596.596743,-375.000000,0.932039,0.015686,0.792505,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9320); hit_r2_cv (R^2=0.0157); hit_r2_slope (R^2=0.7925)
1,1,,-66.240,1.0,4.01,0.220,0.220000,normal,0.203545,0.707182,-1.600000,-25.000000,-25.000000,-157.902663,2000.000000,0.707182,0.203545,0.298533,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7072); hit_r2_cv (R^2=0.2035); hit_r2_slope (R^2=0.2985)
1,1,,-66.260,1.0,4.01,0.150,0.150000,normal,0.645226,0.044643,0.250000,-150.000000,-150.000000,113.913658,4625.000000,0.044643,0.645226,0.793390,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.0446); hit_r2_cv (R^2=0.6452); hit_r2_slope (R^2=0.7934)
1,1,,-66.280,1.0,4.01,0.080,0.080000,normal,0.612653,0.826087,1.900000,-0.000000,-0.000000,691.142092,4125.000000,0.826087,0.612653,0.897473,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.8261); hit_r2_cv (R^2=0.6127); hit_r2_slope (R^2=0.8975)
1,1,,-66.300,1.0,4.01,0.070,0.070000,normal,0.001986,0.936283,2.300000,150.000000,150.000000,-85.521870,1000.000000,0.936283,0.001986,0.842786,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9363); hit_r2_cv (R^2=0.0020); hit_r2_slope (R^2=0.8428)
1,1,,-66.320,1.0,4.01,0.080,0.080000,normal,0.695683,0.780723,1.800000,50.000000,50.000000,-228.442666,-1250.000000,0.780723,0.695683,0.017241,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7807); hit_r2_cv (R^2=0.6957); hit_r2_slope (R^2=0.0172)
1,1,,-66.340,1.0,4.01,0.140,0.140000,normal,0.362614,0.006993,0.100000,125.000000,125.000000,-467.239750,-4250.000000,0.006993,0.362614,0.729344,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.0070); hit_r2_cv (R^2=0.3626); hit_r2_slope (R^2=0.7293)
1,1,,-66.360,1.0,4.01,0.190,0.190000,normal,0.013729,0.787453,-1.450000,-25.000000,-25.000000,605.922722,-3875.000000,0.787453,0.013729,0.896772,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.7875); hit_r2_cv (R^2=0.0137); hit_r2_slope (R^2=0.8968)
1,1,,-66.380,1.0,4.01,0.230,0.230000,normal,0.064425,0.969078,-2.150000,-25.000000,-25.000000,-162.632464,-1750.000000,0.969078,0.064425,0.883478,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9691); hit_r2_cv (R^2=0.0644); hit_r2_slope (R^2=0.8835)
1,1,,-66.400,1.0,4.01,0.220,0.220000,normal,0.216331,0.884367,-1.850000,-125.000000,-125.000000,-334.760543,750.000000,0.884367,0.216331,0.457317,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.8844); hit_r2_cv (R^2=0.2163); hit_r2_slope (R^2=0.4573)
1,1,,-66.420,1.0,4.01,0.170,0.170000,normal,0.364541,0.150000,-0.450000,-100.000000,-100.000000,-97.512488,3500.000000,0.150000,0.364541,0.680417,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.1500); hit_r2_cv (R^2=0.3645); hit_r2_slope (R^2=0.6804)
1,1,,-66.440,1.0,4.01,0.100,0.100000,normal,0.702368,0.539326,1.200000,-50.000000,-50.000000,578.767961,4125.000000,0.539326,0.702368,0.881938,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.5393); hit_r2_cv (R^2=0.7024); hit_r2_slope (R^2=0.8819)
1,1,,-66.460,1.0,4.01,0.070,0.070000,normal,0.038630,0.954635,2.200000,100.000000,100.000000,170.419515,2500.000000,0.954635,0.038630,0.896649,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9546); hit_r2_cv (R^2=0.0386); hit_r2_slope (R^2=0.8966)
1,1,,-66.480,1.0,4.01,0.070,0.070000,normal,0.497850,0.902935,2.000000,75.000000,75.000000,-199.375060,-500.000000,0.902935,0.497850,0.630597,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.9029); hit_r2_cv (R^2=0.4979); hit_r2_slope (R^2=0.6306)
1,1,,-66.500,1.0,4.01,0.110,0.110000,normal,0.589614,0.334821,0.750000,100.000000,100.000000,-473.395247,-3125.000000,0.334821,0.589614,0.641522,False,False,False,True,True,True,1,0.600000,False,hit_r2_drag (R^2=0.3348); hit_r2_cv (R^2=0.5896); hit_r2_slope (R^2=0.6415)
1,2,,-65.500,1.0,4.01,0.050,0.050000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.520,1.0,4.02,0.080,0.080000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.540,1.0,4.01,0.130,0.130000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.560,1.0,4.01,0.080,0.080000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
1,2,,-65.580,1.0,4.01,0.030,0.030000,normal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,False,False,False,False,1,0.000000,False,insufficient_data
