fluid_id,family,conc,rpm,gamma_dot,T_pct_mean,T_pct_std,n_pts,mu_true_cP,tau_Pa,tau_err_Pa,tau_ref_Pa,ref_source,tau_rel_err_pct
Carbopol-980|0.3%,Carbopol-980,0.3%,0.4,0.7999999999999999,59.26769230769231,2.2241396462434446,39,90540.0,117.69643561399553,4.416796039765008,72.42999999999999,exact,62.49680465828461
Carbopol-980|0.3%,Carbopol-980,0.3%,0.6,1.1999999999999997,64.40410256410257,2.204856741913565,39,69120.0,127.89654895554696,4.378503185436716,82.95,exact,54.18511025382394
Carbopol-980|0.3%,Carbopol-980,0.3%,0.8,1.5999999999999999,68.31846153846153,2.4959878736858965,39,57474.041983734445,135.66985817440295,4.956644415029092,91.9613729411868,interp,47.529178648919896
Carbopol-980|0.3%,Carbopol-980,0.3%,1.0,1.9999999999999998,71.42794871794872,2.2165397161094096,39,49810.0,141.84481696498773,4.401703758407948,99.62,exact,42.38588332160984
Carbopol-980|0.4%,Carbopol-980,0.4%,0.1,0.19999999999999998,34.355428571428575,2.839627505456999,35,354200.0,68.22454746265802,5.639059373674535,70.84,exact,-3.6920560944974308
Carbopol-980|0.4%,Carbopol-980,0.4%,0.2,0.39999999999999997,43.372571428571426,2.5430393381995193,35,2112800.0,86.13119326553789,5.050081318813399,85.13,exact,1.176075725993061
Carbopol-980|0.4%,Carbopol-980,0.4%,0.3,0.5999999999999999,51.42657142857143,2.6109812701889132,35,159700.0,102.12518688205819,5.1850034477595655,95.85,exact,6.54688250605967
Carbopol-980|0.4%,Carbopol-980,0.4%,0.4,0.7999999999999999,58.268,3.1174988089058524,35,132200.0,115.71120189314686,6.190868642804798,105.8,exact,9.367865683503656
PEG-300K|10%,PEG-300K,10%,3.0,5.999999999999999,37.19422222222222,15.271900217824587,180,8331.60501162146,73.86195093042708,30.327622870129307,49.987924893316496,extrap,47.759586116171434
PEG-300K|10%,PEG-300K,10%,4.0,7.999999999999999,27.487608695652174,11.571753575895748,46,7913.0,54.5861234183845,22.979706087015465,63.3,exact,-13.765997759266185
PEG-300K|10%,PEG-300K,10%,5.0,9.999999999999998,54.69683908045977,20.790861426419237,174,7602.843770832733,108.61943072966372,41.28742301168456,76.02191902183677,interp,42.87909609130433
PEG-300K|10%,PEG-300K,10%,6.0,11.999999999999998,38.4704347826087,15.111117460925062,46,7358.473786033366,76.39631094335783,30.008333276449452,88.29248732565021,interp,-13.473599784787549
PEG-300K|10%,PEG-300K,10%,7.0,13.999999999999998,57.484556962025316,19.306131707801725,237,7158.0,114.15540564925881,38.33898029479525,100.2,exact,13.927550548162483
PEG-300K|10%,PEG-300K,10%,8.0,15.999999999999998,48.46760869565218,18.148670374901073,46,6911.748398113128,96.24914627343739,36.04044178352357,110.58603955565678,interp,-12.964469421118736
PEG-300K|10%,PEG-300K,10%,9.0,17.999999999999996,69.54388429752066,19.44167685548672,121,6701.580548488876,138.10335752701414,38.608151914713815,120.6372200744363,interp,14.478232706125672
PEG-300K|10%,PEG-300K,10%,10.0,19.999999999999996,54.44953488372093,17.088978340758032,43,6519.0,108.12832298891631,33.93605792090112,130.4,exact,-17.079506910340257
PEG-300K|10%,PEG-300K,10%,11.0,21.999999999999993,57.72404761904762,17.212124634591213,42,6358.124725498994,114.6309969131812,34.18060734199201,139.91041244198598,extrap,-18.068287475949592
PEG-300K|10%,PEG-300K,10%,12.0,23.999999999999996,60.850731707317074,17.297601913306337,41,6214.726201464136,120.84010609478752,34.350351947172946,149.19713818254095,extrap,-19.006418241788886
PEG-300K|5%,PEG-300K,5%,40.0,79.99999999999999,25.159896907216496,7.232524555616429,97,711.9,49.96364918380053,14.362670918035198,56.95,exact,-12.267516797540782
PEG-300K|5%,PEG-300K,5%,50.0,99.99999999999999,28.73185714285714,7.235784802077949,210,676.1058314889799,57.05700766496527,14.369145261354522,67.61238557748433,interp,-15.611604031368655
PEG-300K|5%,PEG-300K,5%,60.0,119.99999999999997,33.696989247311826,8.686024480256897,93,648.2,66.91698918766558,17.24909611251153,77.78999999999999,exact,-13.977388883319726
PEG-300K|5%,PEG-300K,5%,70.0,139.99999999999997,36.96314009661835,8.622004097368256,207,619.9871511211092,73.40305770447722,17.12196157125897,86.80616639384827,interp,-15.440272559163372
PEG-300K|5%,PEG-300K,5%,80.0,159.99999999999997,42.95463917525774,11.373785929885699,97,596.5425879557027,85.30124469443818,22.58657307651605,95.45678264261159,interp,-10.63888564754539
PEG-300K|5%,PEG-300K,5%,90.0,179.99999999999997,43.625524691358024,10.637523602445139,324,576.6,86.63351917443866,21.12447039894358,103.8,exact,-16.5380354774194
PEG-300K|5%,PEG-300K,5%,100.0,199.99999999999997,50.63690721649484,13.080093045733724,97,559.3263391405206,100.55703635224103,25.975034104414792,111.87932040477422,extrap,-10.120086546441014
PEG-300K|5%,PEG-300K,5%,110.0,219.99999999999997,51.92942307692307,11.60515105746227,208,544.1466316734034,103.12377218796742,23.04602830044765,119.72838025454588,extrap,-13.868564855948609
PEG-300K|5%,PEG-300K,5%,120.0,239.99999999999994,56.424301075268815,13.361873517900412,93,530.6486519828113,112.04990206288414,26.53460637572024,127.37387888292942,extrap,-12.030705945706256
PEG-300K|5%,PEG-300K,5%,130.0,259.99999999999994,59.77978494623656,14.061584345338716,93,518.5275890419142,118.71337209176357,27.924123448908517,134.83746626047886,extrap,-11.958170541091881
PEG-600K|10%,PEG-600K,10%,0.6,1.1999999999999997,30.52344370860927,6.898320089834213,151,68300.0,60.61482044073919,13.698992734234187,81.96000000000001,exact,-26.043410882455852
PEG-600K|10%,PEG-600K,10%,0.7,1.4,34.68289473684211,7.577339835471523,152,68300.0,68.87484442804795,15.047420531256087,95.61999999999999,extrap,-27.97025263747338
PEG-600K|10%,PEG-600K,10%,0.8,1.5999999999999999,49.77188284518828,18.388968611862545,239,68300.0,98.83923224585766,36.51763677582837,109.27999999999999,extrap,-9.55414325964708
PEG-600K|10%,PEG-600K,10%,0.9,1.7999999999999998,42.675364238410594,9.255719728890847,151,68300.0,84.74664802729299,18.380422431112642,122.93999999999998,extrap,-31.0666601372271
PEG-600K|5%,PEG-600K,5%,5.0,9.999999999999998,48.4624647887324,13.658868845444324,142,4485.0,96.23893127288623,27.1243929876986,44.85,exact,114.57955690721568
PEG-600K|5%,PEG-600K,5%,10.0,19.999999999999996,71.35203389830508,14.839158669410308,118,3711.0,141.694061918951,29.468265338102846,74.22,exact,90.91088913898008
PEG-600K|5%,PEG-600K,5%,15.0,29.999999999999993,63.34361445783132,19.23515087751482,166,3254.0,125.79058421726808,38.19802338561918,97.63,exact,28.844191557173083
PEG-600K|5%,PEG-600K,5%,20.0,39.99999999999999,88.18270833333332,7.173109281489051,48,2947.0,175.11716838475348,14.244681407839384,117.9,exact,48.53025308291219
PEG-600K|6.5%,PEG-600K,6.5%,12.0,23.999999999999996,54.21364406779661,11.286049376947462,118,4109.0,107.65988045053918,22.412341903480336,98.62,exact,9.16637644548689
Sepineo|1%,Sepineo,1%,23.0,45.99999999999999,47.709342105263154,5.175062598146696,76,2148.0,94.74334654581104,10.27687089146402,98.82000000000001,exact,-4.125332376228466
Sepineo|1.5%,Sepineo,1.5%,2.9,5.799999999999999,50.808181818181815,4.439080253027984,77,17240.0,100.89716112080987,8.815324215315483,100.0,exact,0.8971611208098693
Sepineo|2%,Sepineo,2%,0.5,0.9999999999999999,47.336341463414634,3.0806133773142994,41,82550.0,94.00262517944857,6.117619902127135,82.55,exact,13.873561695273862
Sepineo|2%,Sepineo,2%,1.0,1.9999999999999998,56.878031496062995,4.970881726802328,127,50110.0,112.9509402369347,9.871399380053866,100.2,exact,12.72548925841786
Sepineo|2%,Sepineo,2%,1.5,2.9999999999999996,60.09,4.509060323393326,41,37162.12165072465,119.32941102765146,8.954293770655305,111.50966704524379,interp,7.0126153091596075
Sepineo|2%,Sepineo,2%,2.0,3.9999999999999996,63.74414634146342,4.740338055249736,41,30060.0,126.5859783555875,9.413575440254846,120.3,exact,5.225252165908149
Silicone|100kcP,Silicone,,0.4,0.7999999999999999,110.42546297111112,21.354741190217304,18,124033.0,219.28782590777874,42.407200680255606,99.2264,silicone-nominal,120.99746227594545
Silicone|10kcP,Silicone,,5.5,10.999999999999996,8.800247933818182,1.85553590614216,22,9152.0,17.475926158093365,3.6848062376535777,100.67199999999998,silicone-nominal,-82.64072814874706
Silicone|12.5kcP,Silicone,,3.5,6.999999999999999,13.226265663578948,2.7592973527321463,19,14576.0,26.265310230156857,5.479536161618985,102.032,silicone-nominal,-74.25777184593377
Silicone|15kcP,Silicone,,2.6,5.199999999999999,19.700961538333335,2.9215001646549545,12,19036.0,39.12305104090083,5.801645764111541,98.98719999999999,silicone-nominal,-60.47665653650085
Silicone|1kcP,Silicone,,47.0,94.0,1.065152273647059,0.21612083302014154,17,1073.0,2.11522705057526,0.42918242161921943,100.862,silicone-nominal,-97.90285037915642
Silicone|20kcP,Silicone,,2.1,4.199999999999999,22.948236331666667,4.945222362234943,18,24396.0,45.57163464105735,9.820443865639323,102.46319999999999,silicone-nominal,-55.52390063841715
Silicone|25kcP,Silicone,,2.2,4.4,20.101893939583334,5.124294085797309,24,22760.0,39.91924054502905,10.176052507749551,100.14400000000002,silicone-nominal,-60.13816050384542
Silicone|2kcP,Silicone,,15.0,29.999999999999993,3.1702091503529415,0.6538301987770444,17,3345.0,6.29554319763834,1.298405267634498,100.34999999999998,silicone-nominal,-93.7264143521292
Silicone|30kcP,Silicone,,1.7,3.3999999999999995,29.70670794736842,6.485641706842686,19,31903.0,58.99291001713973,12.879477533930935,108.47019999999999,silicone-nominal,-45.61371693134176
Silicone|35kcP,Silicone,,0.8,1.5999999999999999,58.14861111055556,12.267738424462323,18,63253.0,115.47411409383498,24.361823944622696,101.20479999999999,silicone-nominal,14.099443992612004
Silicone|40kcP,Silicone,,0.8,1.5999999999999999,70.27592592444445,13.451849307382536,18,62756.0,139.55707854862405,26.71328432489065,100.4096,silicone-nominal,38.987784582972196
Silicone|45kcP,Silicone,,1.2,2.3999999999999995,35.82234299521739,8.625945453743308,23,40820.0,71.13761176984202,17.129788493124256,97.96799999999998,silicone-nominal,-27.386889831534745
Silicone|4kcP,Silicone,,8.0,15.999999999999998,5.617537878772727,1.276228489892002,22,6603.0,11.155558104501115,2.534391646455677,105.64799999999998,silicone-nominal,-89.44082414764017
Silicone|50kcP,Silicone,,0.6,1.1999999999999997,72.69043209777777,13.828562031293819,18,79653.0,144.3519129567867,27.46137730992902,95.58359999999999,silicone-nominal,51.02163232687062
Silicone|55kcP,Silicone,,1.0,1.9999999999999998,40.62512820576923,9.808883784848577,26,48553.0,80.67519756560614,19.4789203675264,97.106,silicone-nominal,-16.92048115913935
Silicone|5kcP,Silicone,,9.0,17.999999999999996,5.236234567888889,1.0804889666626303,18,5861.0,10.398348926423868,2.145683341882633,105.49799999999998,silicone-nominal,-90.14355824146062
Silicone|60kcP,Silicone,,0.8,1.5999999999999999,63.81574074055556,12.881099240079807,18,68953.0,126.72815371715421,25.57986330017394,110.3248,silicone-nominal,14.86823789134829
Silicone|70kcP,Silicone,,0.5,0.9999999999999999,89.33017544105263,18.46754770041826,19,87046.0,177.39585991641846,36.673682646296726,87.04599999999999,silicone-nominal,103.79553330011542
Silicone|75kcP,Silicone,,0.7,1.4,59.57556935782609,13.752677691604301,23,70730.0,118.30783163764997,27.310682792349184,99.022,silicone-nominal,19.4763099489507
Silicone|80kcP,Silicone,,0.5,0.9999999999999999,98.09157894842106,21.411627033129903,19,103800.0,194.79464707417972,42.52016713275306,103.79999999999998,silicone-nominal,87.6634364876491
Silicone|8kcP,Silicone,,5.6,11.2,8.075059524050001,1.701469984681046,20,8946.0,16.035814561792545,3.378855236365724,100.19519999999999,silicone-nominal,-83.99542636594113
Silicone|90kcP,Silicone,,0.5,0.9999999999999999,100.03037037222222,19.846276447504604,18,102466.0,198.64478584448517,39.41162389037569,102.466,silicone-nominal,93.86409720735188
Silicone|95kcP,Silicone,,0.5,0.9999999999999999,84.07787879227273,20.049192248049714,22,93400.0,166.96561419098305,39.81458316758076,93.39999999999999,silicone-nominal,78.7640408897035
Solagum|1%,Solagum,1%,95.0,189.99999999999997,46.24086419753087,7.064817619289771,81,522.2,91.82717740224619,14.029630978991898,99.22,exact,-7.450939929201579
Solagum|2%,Solagum,2%,0.7,1.4,46.0,4.420402329738408,38,61800.0,91.34885850011594,8.778232759409928,86.52000000000001,exact,5.581204923851049
Solagum|2%,Solagum,2%,1.4,2.8,49.511512605042014,5.221196797451817,119,35860.0,98.3221773714063,10.368486248949665,100.4,exact,-2.069544450790546
Solagum|2%,Solagum,2%,2.1,4.199999999999999,57.13815789473684,4.622836297540166,38,26156.47177686057,113.46751088007822,9.180235191591228,109.85574372529649,interp,3.2877362915254187
Solagum|2%,Solagum,2%,2.8,5.6,60.772894736842105,5.241755899270698,38,20910.0,120.6855339556137,10.409313433361456,117.1,exact,3.0619418920697803
Solagum|3%,Solagum,3%,0.2,0.39999999999999997,56.61738095238095,4.910102606609483,42,214300.0,112.4333287231784,9.750701483309133,85.72999999999999,exact,31.14817301198929
Solagum|3%,Solagum,3%,0.4,0.7999999999999999,61.8996694214876,7.309664485447141,121,130700.0,122.92313354755271,14.51585884270508,104.6,exact,17.5173360875265
Solagum|3%,Solagum,3%,0.6,1.1999999999999997,72.91119047619047,5.140173766817407,42,95876.05623204047,144.7903048235766,10.207587088935027,115.0836496878782,interp,25.813097878166637
Solagum|3%,Solagum,3%,0.8,1.5999999999999999,77.8397619047619,6.688754117864174,42,76954.57998927312,154.57768252001762,13.28282724901831,123.15315221984547,interp,25.51662684530803
